20	7468	8020	7762.88
20	7442	7912	7676.88
20	7410	7810	7604.86
20	7386	7942	7588.98
20	7334	7824	7557.72
20	7320	7766	7525.26
20	7312	7772	7497.8
20	7272	7816	7460.1
20	7278	7830	7436
20	7260	7682	7428.74
20	7226	7770	7413.94
20	7134	7924	7430.76
20	7218	7788	7411.44
20	7204	7756	7388.54
20	7206	7696	7382.6
20	7194	7772	7378.9
20	7194	7750	7375.64
20	7192	7580	7371.9
20	7154	7824	7376.26
20	7176	7708	7369.7
20	7178	7764	7346.5
20	7170	7762	7329.36
20	7118	7700	7331.3
20	7112	7610	7328.86
20	7078	7740	7298.18
20	7070	7724	7315.2
20	7052	7688	7286.6
20	7064	7632	7293.18
20	7076	7752	7289.94
20	7054	7594	7287.28
20	7082	7626	7270.74
20	7064	7696	7255.66
20	7068	7624	7261.96
20	7066	7558	7259.54
20	7052	7720	7261.32
20	7032	7746	7255.28
20	7050	7596	7274.82
20	7072	7542	7262.66
20	7062	7656	7267.74
20	7052	7626	7279.54
20	7020	7624	7272.16
20	7018	7634	7252.38
20	7066	7650	7262.76
20	7076	7588	7266.02
20	7022	7698	7262.78
20	7084	7622	7265.78
20	7018	7560	7265.14
20	7058	7590	7246.6
20	7040	7534	7254
20	7040	7544	7249.1
20	7014	7632	7245.28
20	7030	7604	7231.56
20	7018	7576	7214.78
20	6996	7610	7216.08
20	6980	7542	7180.1
20	6972	7540	7168.62
20	6990	7518	7191.82
20	6962	7466	7175.72
20	6964	7594	7189.46
20	6968	7608	7202.64
20	7006	7476	7186.48
20	6994	7586	7214.4
20	6990	7508	7204.22
20	6988	7574	7184.38
20	6990	7514	7185.62
20	6970	7554	7180.44
20	6978	7568	7171.1
20	6976	7468	7170.1
20	6968	7420	7127.44
20	6968	7496	7160.62
20	6956	7502	7161.66
20	6958	7576	7168.64
20	6982	7512	7174.84
20	6994	7546	7205
20	7012	7520	7211.6
20	7014	7638	7216.92
20	7008	7624	7186.16
20	7002	7544	7221.96
20	6966	7670	7201.16
20	6968	7738	7184.66
20	6966	7594	7199.82
20	6958	7520	7186.68
20	6962	7620	7188.7
20	6962	7688	7201.56
20	6996	7592	7186.36
20	6986	7536	7186.32
20	6970	7526	7189.94
20	6982	7612	7198.34
20	6968	7530	7179.68
20	6982	7610	7176.24
20	6994	7628	7184.58
20	6978	7568	7155.6
20	6978	7586	7157.92
20	6972	7600	7163.28
20	6960	7466	7170.88
20	6956	7504	7152.4
20	6974	7612	7175.98
20	6986	7498	7160.26
20	6980	7480	7151.88
20	6966	7520	7148.42
